year,state,proportion_democrat_president,resident_population,percent_change_resident_population,resident_population_density,resident_population_density_rank,republican_candidate,democratic_candidate,democratic_candidate_normalized,republican_candidate_normalized,pct_dem_in_polls,dem_prop_4_years_prior,dem_prop_8_years_prior,dem_prop_12_years_prior
1976,CALIFORNIA,0.4908217269318179,19953134.0,27.0,128.1,15.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.42797994,0.42797994,0.42797994,0.42797994
1976,COLORADO,0.4409245616838536,2207259.0,25.8,21.3,41.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.42180101,0.42180101,0.42180101,0.42180101
1976,CONNECTICUT,0.4738998329378652,3031709.0,19.6,626.1,6.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.41698014,0.41698014,0.41698014,0.41698014
1976,DELAWARE,0.527301380893124,548104.0,22.8,281.3,9.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.33370748,0.33370748,0.33370748,0.33370748
1976,GEORGIA,0.6693829485931742,4589575.0,16.4,79.8,26.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.59796546,0.59796546,0.59796546,0.59796546
1976,IDAHO,0.3826700937405503,712567.0,6.8,8.6,47.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.28532182,0.28532182,0.28532182,0.28532182
1976,ILLINOIS,0.4899716625636061,11113976.0,10.2,200.2,12.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.46568122,0.46568122,0.46568122,0.46568122
1976,INDIANA,0.4615122219230517,5193669.0,11.4,145.0,14.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.44115426,0.44115426,0.44115426,0.44115426
1976,IOWA,0.4948383414684765,2824376.0,2.4,50.6,31.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.44396444,0.44396444,0.44396444,0.44396444
1976,KANSAS,0.4612445923746186,2246578.0,3.1,27.5,39.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.41301737,0.41301737,0.41301737,0.41301737
1976,MAINE,0.4956882110290461,992048.0,2.4,32.2,38.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.39287709,0.39287709,0.39287709,0.39287709
1976,MARYLAND,0.5303541992343639,3922399.0,26.5,404.1,7.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.3799658999999999,0.3799658999999999,0.3799658999999999,0.3799658999999999
1976,MASSACHUSETTS,0.5811462217110593,5689170.0,10.5,729.4,5.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.50399871,0.50399871,0.50399871,0.50399871
1976,MICHIGAN,0.4725622595013001,8875083.0,13.4,157.0,13.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.41721918,0.41721918,0.41721918,0.41721918
1976,MINNESOTA,0.566419819719711,3804971.0,11.5,47.8,33.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.50399871,0.50399871,0.50399871,0.50399871
1976,MISSOURI,0.5184190712575877,4676501.0,8.3,68.0,28.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.46088928,0.46088928,0.46088928,0.46088928
1976,NEBRASKA,0.3937354855260315,1483493.0,5.1,19.3,42.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.33370748,0.33370748,0.33370748,0.33370748
1976,NEW JERSEY,0.4889933152604929,7168164.0,18.2,974.7,2.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.37091361,0.37091361,0.37091361,0.37091361
1976,NEW YORK,0.534451946087019,18236967.0,8.7,387.0,8.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.49313474,0.49313474,0.49313474,0.49313474
1976,NORTH CAROLINA,0.5555329249846495,5082059.0,11.5,104.5,19.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.41196529,0.41196529,0.41196529,0.41196529
1976,OHIO,0.5011635459664862,10652017.0,9.7,260.7,11.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.53398833,0.53398833,0.53398833,0.53398833
1976,OREGON,0.4991282682307967,2091385.0,18.2,21.8,40.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.43190446,0.43190446,0.43190446,0.43190446
1976,SOUTH CAROLINA,0.565661090449159,2590516.0,8.7,86.2,21.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.48704338,0.48704338,0.48704338,0.48704338
1976,SOUTH DAKOTA,0.4925696563319523,665507.0,-2.2,8.8,46.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.43200283,0.43200283,0.43200283,0.43200283
1976,UTAH,0.3501994161740555,1059273.0,18.9,12.9,44.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.34506819,0.34506819,0.34506819,0.34506819
1976,WASHINGTON,0.4797970643220483,3409169.0,19.5,51.3,30.0,"FORD, GERALD","CARTER, JIMMY",JIMMY CARTER,GERALD FORD,0.33270395,0.33270395,0.33270395,0.33270395
1980,ALABAMA,0.4932366169296053,3444165.0,5.4,68.0,28.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.40321613,0.40321613,0.40321613,0.40321613
1980,ARIZONA,0.3178791316766491,1770900.0,36.0,15.6,43.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.21787392,0.21787392,0.21787392,0.21787392
1980,ARKANSAS,0.4968029405707653,1923295.0,7.7,37.0,37.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.4398322799999999,0.4398322799999999,0.4398322799999999,0.4398322799999999
1980,CALIFORNIA,0.4053337544079053,19953134.0,27.0,128.1,15.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.2801038799999999,0.4908217269318179,0.2801038799999999,0.2801038799999999
1980,COLORADO,0.360696597871354,2207259.0,25.8,21.3,41.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.24913525,0.4409245616838536,0.24913525,0.24913525
1980,CONNECTICUT,0.4444280367728735,3031709.0,19.6,626.1,6.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.32831153,0.4738998329378652,0.32831153,0.32831153
1980,DELAWARE,0.4873321474982258,548104.0,22.8,281.3,9.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.3674326,0.527301380893124,0.3674326,0.3674326
1980,FLORIDA,0.4094923705280309,6789443.0,37.1,126.6,16.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.3681831,0.3681831,0.3681831,0.3681831
1980,GEORGIA,0.5766239969245167,4589575.0,16.4,79.8,26.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.48568402,0.6693829485931742,0.48568402,0.48568402
1980,HAWAII,0.510840592350869,768561.0,21.5,119.7,17.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.36287027,0.36287027,0.36287027,0.36287027
1980,IDAHO,0.2748677321266878,712567.0,6.8,8.6,47.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.23957977,0.3826700937405503,0.23957977,0.23957977
1980,ILLINOIS,0.4566033761788903,11113976.0,10.2,200.2,12.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.4035359799999999,0.4899716625636061,0.4035359799999999,0.4035359799999999
1980,IOWA,0.4293684972879164,2824376.0,2.4,50.6,31.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.33458937,0.4948383414684765,0.33458937,0.33458937
1980,KANSAS,0.3652451056147966,2246578.0,3.1,27.5,39.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.26411143,0.4612445923746186,0.26411143,0.26411143
1980,LOUISIANA,0.4718911401140074,3641306.0,11.8,84.3,22.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.3686977999999999,0.3686977999999999,0.3686977999999999,0.3686977999999999
1980,MAINE,0.4809051656597664,992048.0,2.4,32.2,38.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.35645349,0.4956882110290461,0.35645349,0.35645349
1980,MARYLAND,0.516191380662185,3922399.0,26.5,404.1,7.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.4113785699999999,0.5303541992343639,0.4113785699999999,0.4113785699999999
1980,MASSACHUSETTS,0.4990932698314367,5689170.0,10.5,729.4,5.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.3114032,0.5811462217110593,0.3114032,0.3114032
1980,MICHIGAN,0.4645358910320158,8875083.0,13.4,157.0,13.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.28741635,0.4725622595013001,0.28741635,0.28741635
1980,MINNESOTA,0.5221361455718679,3804971.0,11.5,47.8,33.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.31597255,0.566419819719711,0.31597255,0.31597255
1980,MISSISSIPPI,0.4932166779645438,2216912.0,1.8,47.2,34.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.35870002,0.35870002,0.35870002,0.35870002
1980,MISSOURI,0.4643458565855658,4676501.0,8.3,68.0,28.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.37222867,0.5184190712575877,0.37222867,0.37222867
1980,NEBRASKA,0.2841755487178086,1483493.0,5.1,19.3,42.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.22783342,0.3937354855260315,0.22783342,0.22783342
1980,NEVADA,0.3007267133699923,488738.0,71.3,4.5,50.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.22783342,0.22783342,0.22783342,0.22783342
1980,NEW HAMPSHIRE,0.3293230762715197,737681.0,21.5,82.4,23.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.28762486,0.28762486,0.28762486,0.28762486
1980,NEW JERSEY,0.4259085548536872,7168164.0,18.2,974.7,2.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.33844507,0.4889933152604929,0.33844507,0.33844507
1980,NEW YORK,0.5084486380354196,18236967.0,8.7,387.0,8.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.35753233,0.534451946087019,0.35753233,0.35753233
1980,NORTH CAROLINA,0.4890031737025543,5082059.0,11.5,104.5,19.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.46157558,0.5555329249846495,0.46157558,0.46157558
