cycle,state,modeldate,candidate_name,pct_estimate,candidate_name_normalized
1968,National,,George Wallace,15.002,GEORGE WALLACE
1968,National,,"Hubert Humphrey, Jr.",39.06675,HUBERT HUMPHREY
1968,National,,Richard M. Nixon,47.72081,RICHARD NIXON
1972,California,,George S. McGovern,35.41592,GEORGE MCGOVERN
1972,California,,Richard M. Nixon,47.3146,RICHARD NIXON
1972,Colorado,,George S. McGovern,27.3064,GEORGE MCGOVERN
1972,Colorado,,Richard M. Nixon,63.63466,RICHARD NIXON
1972,Connecticut,,George S. McGovern,28.22355,GEORGE MCGOVERN
1972,Connecticut,,Richard M. Nixon,57.27177,RICHARD NIXON
1972,Illinois,,George S. McGovern,30.20215,GEORGE MCGOVERN
1972,Illinois,,Richard M. Nixon,60.16923,RICHARD NIXON
1972,Kansas,,George S. McGovern,22.46692,GEORGE MCGOVERN
1972,Kansas,,Richard M. Nixon,66.69883,RICHARD NIXON
1972,Kentucky,,George S. McGovern,32.3255,GEORGE MCGOVERN
1972,Kentucky,,Richard M. Nixon,48.66443,RICHARD NIXON
1972,Massachusetts,,George S. McGovern,47.03973,GEORGE MCGOVERN
1972,Massachusetts,,Richard M. Nixon,43.81844,RICHARD NIXON
1972,Michigan,,George S. McGovern,40.82501,GEORGE MCGOVERN
1972,Michigan,,Richard M. Nixon,54.96976,RICHARD NIXON
1972,Minnesota,,George S. McGovern,33.96141,GEORGE MCGOVERN
1972,Minnesota,,Richard M. Nixon,59.70787,RICHARD NIXON
1972,Missouri,,George S. McGovern,15.55203,GEORGE MCGOVERN
1972,Missouri,,Richard M. Nixon,58.52635,RICHARD NIXON
1972,National,,George S. McGovern,33.71223,GEORGE MCGOVERN
1972,National,,Richard M. Nixon,57.92342,RICHARD NIXON
1972,New Jersey,,George S. McGovern,30.28568,GEORGE MCGOVERN
1972,New Jersey,,Richard M. Nixon,53.11531,RICHARD NIXON
1972,New York,,George S. McGovern,35.87733,GEORGE MCGOVERN
1972,New York,,Richard M. Nixon,58.8518,RICHARD NIXON
1972,North Carolina,,George S. McGovern,24.29243,GEORGE MCGOVERN
1972,North Carolina,,Richard M. Nixon,65.62482,RICHARD NIXON
1972,Ohio,,George S. McGovern,33.45072,GEORGE MCGOVERN
1972,Ohio,,Richard M. Nixon,56.30234,RICHARD NIXON
1972,Oklahoma,,George S. McGovern,21.98039,GEORGE MCGOVERN
1972,Oklahoma,,Richard M. Nixon,74.76071,RICHARD NIXON
1972,Oregon,,George S. McGovern,37.14799,GEORGE MCGOVERN
1972,Oregon,,Richard M. Nixon,48.90327,RICHARD NIXON
1972,Pennsylvania,,George S. McGovern,38.61049,GEORGE MCGOVERN
1972,Pennsylvania,,Richard M. Nixon,58.18247,RICHARD NIXON
1976,California,1976-11-02,Gerald R. Ford,46.068216,GERALD FORD
1976,California,1976-11-02,Jimmy Carter,42.797994,JIMMY CARTER
1976,Colorado,1976-11-02,Gerald R. Ford,43.553292,GERALD FORD
1976,Colorado,1976-11-02,Jimmy Carter,42.180101,JIMMY CARTER
1976,Connecticut,1976-11-02,Gerald R. Ford,43.167668,GERALD FORD
1976,Connecticut,1976-11-02,Jimmy Carter,41.698014,JIMMY CARTER
1976,Delaware,1976-11-02,Gerald R. Ford,30.925426,GERALD FORD
1976,Delaware,1976-11-02,Jimmy Carter,33.370748,JIMMY CARTER
1976,Georgia,1976-11-02,Gerald R. Ford,30.416786,GERALD FORD
1976,Georgia,1976-11-02,Jimmy Carter,59.796546,JIMMY CARTER
1976,Idaho,1976-11-02,Gerald R. Ford,47.231461,GERALD FORD
1976,Idaho,1976-11-02,Jimmy Carter,28.532182,JIMMY CARTER
1976,Illinois,1976-11-02,Gerald R. Ford,48.138897,GERALD FORD
1976,Illinois,1976-11-02,Jimmy Carter,46.568122,JIMMY CARTER
1976,Indiana,1976-11-02,Gerald R. Ford,43.203328,GERALD FORD
1976,Indiana,1976-11-02,Jimmy Carter,44.115426,JIMMY CARTER
1976,Iowa,1976-11-02,Gerald R. Ford,46.021599,GERALD FORD
1976,Iowa,1976-11-02,Jimmy Carter,44.396444,JIMMY CARTER
1976,Kansas,1976-11-02,Gerald R. Ford,46.104269,GERALD FORD
1976,Kansas,1976-11-02,Jimmy Carter,41.301737,JIMMY CARTER
1976,Maine,1976-11-02,Gerald R. Ford,41.706581,GERALD FORD
1976,Maine,1976-11-02,Jimmy Carter,39.287709,JIMMY CARTER
1976,Maryland,1976-11-02,Gerald R. Ford,30.016708,GERALD FORD
1976,Maryland,1976-11-02,Jimmy Carter,37.99659,JIMMY CARTER
1976,Massachusetts,1976-11-02,Gerald R. Ford,35.971312,GERALD FORD
1976,Massachusetts,1976-11-02,Jimmy Carter,50.399871,JIMMY CARTER
1976,Michigan,1976-11-02,Gerald R. Ford,45.081918,GERALD FORD
1976,Michigan,1976-11-02,Jimmy Carter,41.721918,JIMMY CARTER
1976,Minnesota,1976-11-02,Gerald R. Ford,36.285449,GERALD FORD
1976,Minnesota,1976-11-02,Jimmy Carter,50.399871,JIMMY CARTER
1976,Missouri,1976-11-02,Gerald R. Ford,43.846193,GERALD FORD
1976,Missouri,1976-11-02,Jimmy Carter,46.088928,JIMMY CARTER
1976,National,1976-11-02,Gerald R. Ford,45.014414,GERALD FORD
1976,National,1976-11-02,Jimmy Carter,45.599425,JIMMY CARTER
1976,Nebraska,1976-11-02,Gerald R. Ford,53.02522,GERALD FORD
1976,Nebraska,1976-11-02,Jimmy Carter,33.370748,JIMMY CARTER
1976,New Jersey,1976-11-02,Gerald R. Ford,44.645726,GERALD FORD
1976,New Jersey,1976-11-02,Jimmy Carter,37.091361,JIMMY CARTER
1976,New York,1976-11-02,Gerald R. Ford,44.351337,GERALD FORD
1976,New York,1976-11-02,Jimmy Carter,49.313474,JIMMY CARTER
1976,North Carolina,1976-11-02,Gerald R. Ford,40.518208,GERALD FORD
1976,North Carolina,1976-11-02,Jimmy Carter,41.196529,JIMMY CARTER
1976,Ohio,1976-11-02,Gerald R. Ford,42.007948,GERALD FORD
1976,Ohio,1976-11-02,Jimmy Carter,53.398833,JIMMY CARTER
1976,Oregon,1976-11-02,Gerald R. Ford,40.518523,GERALD FORD
1976,Oregon,1976-11-02,Jimmy Carter,43.190446,JIMMY CARTER
1976,South Carolina,1976-11-02,Gerald R. Ford,38.029167,GERALD FORD
1976,South Carolina,1976-11-02,Jimmy Carter,48.704338,JIMMY CARTER
1976,South Dakota,1976-11-02,Gerald R. Ford,41.934678,GERALD FORD
1976,South Dakota,1976-11-02,Jimmy Carter,43.200283,JIMMY CARTER
1976,Utah,1976-11-02,Gerald R. Ford,55.407616,GERALD FORD
1976,Utah,1976-11-02,Jimmy Carter,34.506819,JIMMY CARTER
1976,Washington,1976-11-02,Gerald R. Ford,31.733736,GERALD FORD
1976,Washington,1976-11-02,Jimmy Carter,33.270395,JIMMY CARTER
1980,Alabama,1980-11-04,Jimmy Carter,40.321613,JIMMY CARTER
1980,Alabama,1980-11-04,John B. Anderson,3.2009363,JOHN ANDERSON
1980,Alabama,1980-11-04,Ronald Reagan,44.868922,RONALD REAGAN
1980,Arizona,1980-11-04,Jimmy Carter,21.787392,JIMMY CARTER
1980,Arizona,1980-11-04,Ronald Reagan,45.174599,RONALD REAGAN
1980,Arkansas,1980-11-04,Jimmy Carter,43.983228,JIMMY CARTER
1980,Arkansas,1980-11-04,John B. Anderson,5.7586027,JOHN ANDERSON
1980,Arkansas,1980-11-04,Ronald Reagan,40.324904,RONALD REAGAN
1980,California,1980-11-04,Jimmy Carter,28.010388,JIMMY CARTER
1980,California,1980-11-04,John B. Anderson,17.682481,JOHN ANDERSON
1980,California,1980-11-04,Ronald Reagan,42.075506,RONALD REAGAN
1980,Colorado,1980-11-04,Jimmy Carter,24.913525,JIMMY CARTER
1980,Colorado,1980-11-04,John B. Anderson,12.005552,JOHN ANDERSON
1980,Colorado,1980-11-04,Ronald Reagan,49.955457,RONALD REAGAN
1980,Connecticut,1980-11-04,Jimmy Carter,32.831153,JIMMY CARTER
1980,Connecticut,1980-11-04,John B. Anderson,18.712681,JOHN ANDERSON
1980,Connecticut,1980-11-04,Ronald Reagan,36.367083,RONALD REAGAN
1980,Delaware,1980-11-04,Jimmy Carter,36.74326,JIMMY CARTER
1980,Delaware,1980-11-04,Ronald Reagan,43.166828,RONALD REAGAN
