cycle,state,modeldate,candidate_name,pct_estimate
1968,National,,George Wallace,15.002
1968,National,,"Hubert Humphrey, Jr.",39.06675
1968,National,,Richard M. Nixon,47.72081
1972,California,,George S. McGovern,35.41592
1972,California,,Richard M. Nixon,47.3146
1972,Colorado,,George S. McGovern,27.3064
1972,Colorado,,Richard M. Nixon,63.63466
1972,Connecticut,,George S. McGovern,28.22355
1972,Connecticut,,Richard M. Nixon,57.27177
1972,Illinois,,George S. McGovern,30.20215
1972,Illinois,,Richard M. Nixon,60.16923
1972,Kansas,,George S. McGovern,22.46692
1972,Kansas,,Richard M. Nixon,66.69883
1972,Kentucky,,George S. McGovern,32.3255
1972,Kentucky,,Richard M. Nixon,48.66443
1972,Massachusetts,,George S. McGovern,47.03973
1972,Massachusetts,,Richard M. Nixon,43.81844
1972,Michigan,,George S. McGovern,40.82501
1972,Michigan,,Richard M. Nixon,54.96976
1972,Minnesota,,George S. McGovern,33.96141
1972,Minnesota,,Richard M. Nixon,59.70787
1972,Missouri,,George S. McGovern,15.55203
1972,Missouri,,Richard M. Nixon,58.52635
1972,National,,George S. McGovern,33.71223
1972,National,,Richard M. Nixon,57.92342
1972,New Jersey,,George S. McGovern,30.28568
1972,New Jersey,,Richard M. Nixon,53.11531
1972,New York,,George S. McGovern,35.87733
1972,New York,,Richard M. Nixon,58.8518
1972,North Carolina,,George S. McGovern,24.29243
1972,North Carolina,,Richard M. Nixon,65.62482
1972,Ohio,,George S. McGovern,33.45072
1972,Ohio,,Richard M. Nixon,56.30234
1972,Oklahoma,,George S. McGovern,21.98039
1972,Oklahoma,,Richard M. Nixon,74.76071
1972,Oregon,,George S. McGovern,37.14799
1972,Oregon,,Richard M. Nixon,48.90327
1972,Pennsylvania,,George S. McGovern,38.61049
1972,Pennsylvania,,Richard M. Nixon,58.18247
1976,California,1976-11-02,Gerald R. Ford,46.068216
1976,California,1976-11-02,Jimmy Carter,42.797994
1976,Colorado,1976-11-02,Gerald R. Ford,43.553292
1976,Colorado,1976-11-02,Jimmy Carter,42.180101
1976,Connecticut,1976-11-02,Gerald R. Ford,43.167668
1976,Connecticut,1976-11-02,Jimmy Carter,41.698014
1976,Delaware,1976-11-02,Gerald R. Ford,30.925426
1976,Delaware,1976-11-02,Jimmy Carter,33.370748
1976,Georgia,1976-11-02,Gerald R. Ford,30.416786
1976,Georgia,1976-11-02,Jimmy Carter,59.796546
1976,Idaho,1976-11-02,Gerald R. Ford,47.231461
1976,Idaho,1976-11-02,Jimmy Carter,28.532182
1976,Illinois,1976-11-02,Gerald R. Ford,48.138897
1976,Illinois,1976-11-02,Jimmy Carter,46.568122
1976,Indiana,1976-11-02,Gerald R. Ford,43.203328
1976,Indiana,1976-11-02,Jimmy Carter,44.115426
1976,Iowa,1976-11-02,Gerald R. Ford,46.021599
1976,Iowa,1976-11-02,Jimmy Carter,44.396444
1976,Kansas,1976-11-02,Gerald R. Ford,46.104269
1976,Kansas,1976-11-02,Jimmy Carter,41.301737
1976,Maine,1976-11-02,Gerald R. Ford,41.706581
1976,Maine,1976-11-02,Jimmy Carter,39.287709
1976,Maryland,1976-11-02,Gerald R. Ford,30.016708
