cycle,state,modeldate,candidate_name,pct_estimate
2020,Wyoming,11/3/2020,Joseph R. Biden Jr.,30.81486
2020,Wisconsin,11/3/2020,Joseph R. Biden Jr.,52.12642
2020,West Virginia,11/3/2020,Joseph R. Biden Jr.,33.49125
2020,Washington,11/3/2020,Joseph R. Biden Jr.,59.34201
2020,Virginia,11/3/2020,Joseph R. Biden Jr.,53.7412
2020,Vermont,11/3/2020,Joseph R. Biden Jr.,66.37385
2020,Utah,11/3/2020,Joseph R. Biden Jr.,42.09312
2020,Texas,11/3/2020,Joseph R. Biden Jr.,47.46643
2020,Tennessee,11/3/2020,Joseph R. Biden Jr.,40.98734
2020,South Dakota,11/3/2020,Joseph R. Biden Jr.,39.04822
2020,South Carolina,11/3/2020,Joseph R. Biden Jr.,44.49876
2020,Rhode Island,11/3/2020,Joseph R. Biden Jr.,62.88512
2020,Pennsylvania,11/3/2020,Joseph R. Biden Jr.,50.22
2020,Oregon,11/3/2020,Joseph R. Biden Jr.,58.60912
2020,Oklahoma,11/3/2020,Joseph R. Biden Jr.,36.14497
2020,Ohio,11/3/2020,Joseph R. Biden Jr.,46.76865
2020,North Dakota,11/3/2020,Joseph R. Biden Jr.,38.58266
2020,North Carolina,11/3/2020,Joseph R. Biden Jr.,48.90633
2020,New York,11/3/2020,Joseph R. Biden Jr.,62.21193
2020,New Mexico,11/3/2020,Joseph R. Biden Jr.,53.81614
2020,New Jersey,11/3/2020,Joseph R. Biden Jr.,58.35078
2020,New Hampshire,11/3/2020,Joseph R. Biden Jr.,53.90454
2020,Nevada,11/3/2020,Joseph R. Biden Jr.,49.62386
2020,Nebraska,11/3/2020,Joseph R. Biden Jr.,42.38914
2020,National,11/3/2020,Joseph R. Biden Jr.,51.84996
2020,NE-2,11/3/2020,Joseph R. Biden Jr.,49.99056
2020,NE-1,11/3/2020,Joseph R. Biden Jr.,44.54313
2020,Montana,11/3/2020,Joseph R. Biden Jr.,45.34418
2020,Missouri,11/3/2020,Joseph R. Biden Jr.,43.60328
2020,Mississippi,11/3/2020,Joseph R. Biden Jr.,39.49166
2020,Minnesota,11/3/2020,Joseph R. Biden Jr.,51.86992
2020,Michigan,11/3/2020,Joseph R. Biden Jr.,51.17806
2020,Massachusetts,11/3/2020,Joseph R. Biden Jr.,64.36328
2020,Maryland,11/3/2020,Joseph R. Biden Jr.,63.02029
2020,Maine,11/3/2020,Joseph R. Biden Jr.,53.31518
2020,ME-2,11/3/2020,Joseph R. Biden Jr.,49.0097
2020,ME-1,11/3/2020,Joseph R. Biden Jr.,57.59848
2020,Louisiana,11/3/2020,Joseph R. Biden Jr.,37.01124
2020,Kentucky,11/3/2020,Joseph R. Biden Jr.,39.73639
2020,Kansas,11/3/2020,Joseph R. Biden Jr.,40.89531
2020,Iowa,11/3/2020,Joseph R. Biden Jr.,46.30991
2020,Indiana,11/3/2020,Joseph R. Biden Jr.,42.02645
2020,Illinois,11/3/2020,Joseph R. Biden Jr.,55.00272
2020,Idaho,11/3/2020,Joseph R. Biden Jr.,38.27272
2020,Hawaii,11/3/2020,Joseph R. Biden Jr.,64.27528
2020,Georgia,11/3/2020,Joseph R. Biden Jr.,48.57144
2020,Florida,11/3/2020,Joseph R. Biden Jr.,49.09162
2020,District of Columbia,11/3/2020,Joseph R. Biden Jr.,90.74213
2020,Delaware,11/3/2020,Joseph R. Biden Jr.,58.69788
2020,Connecticut,11/3/2020,Joseph R. Biden Jr.,58.38586
2020,Colorado,11/3/2020,Joseph R. Biden Jr.,53.62617
2020,California,11/3/2020,Joseph R. Biden Jr.,61.62906
2020,Arkansas,11/3/2020,Joseph R. Biden Jr.,36.2072
2020,Arizona,11/3/2020,Joseph R. Biden Jr.,48.72237
2020,Alaska,11/3/2020,Joseph R. Biden Jr.,43.50767
2020,Alabama,11/3/2020,Joseph R. Biden Jr.,37.78223
2020,Wyoming,11/3/2020,Donald Trump,61.97429
2020,Wisconsin,11/3/2020,Donald Trump,43.66555
2020,West Virginia,11/3/2020,Donald Trump,61.89582
2020,Washington,11/3/2020,Donald Trump,36.26052
2020,Virginia,11/3/2020,Donald Trump,41.78265
2020,Vermont,11/3/2020,Donald Trump,27.34287
2020,Utah,11/3/2020,Donald Trump,51.59272
2020,Texas,11/3/2020,Donald Trump,48.57118
2020,Tennessee,11/3/2020,Donald Trump,54.92919
2020,South Dakota,11/3/2020,Donald Trump,54.1786
2020,South Carolina,11/3/2020,Donald Trump,51.55556
2020,Rhode Island,11/3/2020,Donald Trump,31.77536
2020,Pennsylvania,11/3/2020,Donald Trump,45.57216
2020,Oregon,11/3/2020,Donald Trump,37.04441
2020,Oklahoma,11/3/2020,Donald Trump,58.78825
2020,Ohio,11/3/2020,Donald Trump,47.51268
2020,North Dakota,11/3/2020,Donald Trump,55.62675
2020,North Carolina,11/3/2020,Donald Trump,47.12687
2020,New York,11/3/2020,Donald Trump,32.77427
2020,New Mexico,11/3/2020,Donald Trump,41.84091
2020,New Jersey,11/3/2020,Donald Trump,37.88028
